,,,,,Llama3.1-8B,,,,Llama3.1-70B,,,,Llama3.1-405B,,,,Gemini1.5-pro,,,,GPT-4.0mini,,,,GPT-4.0,,,,Claude-3.5,,,,OpenAI-o3-mini,,,,DeepSeek-Reasoner,,,,o3-mini(one_shot),,,,Claude-3.5(single-state),,,,DeepSeek-Reasoner(two_shot),,,,GPT-4o(tool_agent),,,,GPT-4o(single_state),,,,Claude-3.5(without_summarizer),,,,Claude-3.5(without_thought),,,,GPT-4o(without_summarizer),,,
Question,Scenario_name,Question_Level,Task_Category,Tactic_Category,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps
s1.1 (hawkeye),hawkeye,Medium,Network Forensics,,fail,0/1,wrong_answer,,fail,,wrong_answer,,pass,,,,pass,,,6,pass,,,4,pass,01-Jan,,4,pass,,,4,pass,,,4,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s1.2,hawkeye,Medium,Network Forensics,,fail,0/1,give_up,,pass,,,,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s1.3,hawkeye,Medium,Network Forensics,,fail,0/1,give_up,,fail,,round_exceed,,pass,,,,pass,,,4,pass,,,3,pass,01-Jan,,4,pass,,,3,pass,,,4,pass,,,2,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s1.4,hawkeye,Medium,Network Forensics,,fail,0/1,wrong_answer,,fail,,round_exceed,,pass,,,,fail,,wrong_answer,4,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,4,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s1.5,hawkeye,Medium,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,fail,,wrong_answer,3,fail,,wrong_answer,3,pass,,,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,
s1.6,hawkeye,Medium,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,0/1,wrong_answer,4,pass,,,4,pass,,,5,fail,,wrong_answer,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s1.7,hawkeye,Medium,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,pass,,,,fail,,wrong_answer,4,fail,,give_up,3,pass,01-Jan,,3,pass,,,4,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s1.8,hawkeye,Medium,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s1.9,hawkeye,Medium,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,pass,,,3,fail,,give_up,3,pass,01-Jan,,4,pass,,,3,pass,,,5,pass,,,3,pass,,,,pass,,,,,,,,fail,,,,fail,,,,pass,context limit,,,pass,,,,pass,,,
s1.10,hawkeye,Medium,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,6,fail,,wrong_answer,3,pass,01-Jan,,4,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,
s1.11,hawkeye,Medium,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,7,pass,,,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,
s1.12,hawkeye,Medium,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,10,fail,,give_up,3,fail,0/1,wrong_answer,6,fail,,give_up,7,pass,,,4,fail,,wrong_answer,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,context limitation,,
s1.13,hawkeye,Medium,Network Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,pass,,,4,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,4,fail,,give_up,3,pass,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s1.14,hawkeye,Medium,Network Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,6,fail,,wrong_answer,4,pass,01-Jan,,7,fail,,give_up,6,fail,,wrong_answer,2,pass,,,5,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.15,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,5,fail,,wrong_answer,3,pass,01-Jan,,4,pass,,,3,pass,,,2,fail,,wrong_answer,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.16,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,2,pass,,,5,pass,01-Jan,,4,pass,,,3,fail,,wrong_answer,2,pass,,,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.17,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,2,fail,,give_up,3,fail,0/1,give_up,3,pass,,,3,pass,,,3,fail,,give_up,4,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.18,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,2,fail,,give_up,3,fail,0/1,give_up,3,pass,,,3,pass,,,4,pass,,,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.19,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,2,fail,,give_up,3,fail,0/1,give_up,4,pass,,,3,fail,,wrong_answer,4,fail,,wrong_answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
