question,question_number,scenario_name,question_level,task_category,Llama3.1-8B,Llama3.1-70B,Llama3.1-405B,GPT-4.0,GPT-4.0mini,Gemini1.5-pro,DeepSeek-Reasoner,OpenAI-o3-mini,Claude-3.5
s1.1 (hawkeye),s1.1,hawkeye,Medium,Network Forensics,fail,fail,pass,pass,pass,pass,pass,pass,pass
s1.10,s1.10,hawkeye,Medium,Network Forensics,fail,fail,fail,pass,fail,fail,fail,fail,pass
s1.11,s1.11,hawkeye,Medium,Network Forensics,fail,fail,fail,pass,pass,pass,pass,pass,pass
s1.12,s1.12,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,fail,pass,fail
s1.13,s1.13,hawkeye,Medium,Network Forensics,fail,fail,fail,pass,pass,pass,fail,pass,pass
s1.14,s1.14,hawkeye,Medium,Network Forensics,fail,fail,fail,pass,fail,fail,pass,fail,fail
s1.15,s1.15,hawkeye,Medium,Network Forensics,fail,fail,fail,pass,fail,fail,fail,pass,pass
s1.16,s1.16,hawkeye,Medium,Network Forensics,fail,fail,fail,pass,pass,fail,pass,fail,pass
s1.17,s1.17,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,fail,pass,pass
s1.18,s1.18,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,pass,pass,pass
s1.19,s1.19,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,fail,fail,pass
s1.2,s1.2,hawkeye,Medium,Network Forensics,fail,pass,pass,pass,pass,pass,pass,pass,pass
s1.20,s1.20,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,pass,fail,pass
s1.21,s1.21,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,fail,fail,fail
s1.3,s1.3,hawkeye,Medium,Network Forensics,fail,fail,pass,pass,pass,pass,pass,pass,pass
s1.4,s1.4,hawkeye,Medium,Network Forensics,fail,fail,pass,pass,pass,fail,pass,pass,pass
s1.5,s1.5,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,pass,fail,fail
s1.6,s1.6,hawkeye,Medium,Network Forensics,fail,fail,fail,fail,fail,fail,fail,pass,pass
s1.7,s1.7,hawkeye,Medium,Network Forensics,fail,fail,pass,pass,fail,fail,pass,pass,pass
s1.8,s1.8,hawkeye,Medium,Network Forensics,fail,fail,pass,pass,pass,pass,pass,pass,pass
s1.9,s1.9,hawkeye,Medium,Network Forensics,fail,fail,fail,pass,fail,pass,pass,pass,pass
s10.1 (Grab_the_Fisher),s10.1,phisher,Easy,Miscellaneous,fail,fail,fail,fail,fail,pass,pass,pass,pass
s10.10,s10.10,phisher,Easy,Miscellaneous,fail,fail,fail,pass,fail,fail,fail,fail,pass
s10.11,s10.11,phisher,Easy,Miscellaneous,fail,fail,fail,fail,fail,fail,fail,fail,fail
s10.12,s10.12,phisher,Easy,Miscellaneous,fail,fail,fail,fail,fail,fail,fail,fail,fail
s10.2,s10.2,phisher,Easy,Miscellaneous,fail,fail,fail,pass,fail,pass,fail,fail,pass
s10.3,s10.3,phisher,Easy,Miscellaneous,fail,fail,fail,fail,fail,pass,fail,fail,fail
s10.4,s10.4,phisher,Easy,Miscellaneous,fail,fail,pass,pass,fail,pass,pass,fail,pass
s10.5,s10.5,phisher,Easy,Miscellaneous,fail,fail,pass,pass,fail,fail,pass,fail,pass
s10.6,s10.6,phisher,Easy,Miscellaneous,fail,pass,pass,pass,fail,fail,pass,pass,pass
s10.7,s10.7,phisher,Easy,Miscellaneous,fail,fail,fail,pass,fail,pass,pass,fail,pass
s10.8,s10.8,phisher,Easy,Miscellaneous,fail,fail,fail,pass,fail,fail,fail,fail,pass
s10.9,s10.9,phisher,Easy,Miscellaneous,fail,fail,fail,pass,fail,fail,pass,fail,pass
s11.1 (btlo_Wordpress),s11.1,wordpress,Easy,Miscellaneous,pass,pass,pass,pass,pass,pass,fail,pass,pass
s11.2,s11.2,wordpress,Easy,Miscellaneous,fail,fail,fail,pass,pass,pass,pass,pass,pass
s11.3,s11.3,wordpress,Easy,Miscellaneous,fail,fail,fail,pass,pass,pass,pass,pass,pass
s11.4,s11.4,wordpress,Easy,Miscellaneous,fail,pass,pass,pass,pass,pass,pass,pass,pass
s11.5,s11.5,wordpress,Easy,Miscellaneous,fail,pass,pass,pass,pass,pass,fail,pass,pass
s12.1 (btlo_RansomwareScript),s12.1,ransom_script,Easy,Malware Analysis,pass,fail,pass,pass,pass,pass,pass,pass,pass
s12.2,s12.2,ransom_script,Easy,Malware Analysis,fail,fail,pass,pass,pass,pass,pass,pass,pass
s12.3,s12.3,ransom_script,Easy,Malware Analysis,fail,fail,fail,pass,fail,fail,pass,pass,pass
s12.4,s12.4,ransom_script,Easy,Malware Analysis,fail,fail,fail,pass,pass,fail,pass,fail,pass
s12.5,s12.5,ransom_script,Easy,Malware Analysis,pass,pass,pass,pass,pass,pass,pass,fail,pass
s12.6,s12.6,ransom_script,Easy,Malware Analysis,pass,pass,pass,pass,fail,pass,pass,pass,pass
s13.1 (PsExec),s13.1,PsExec,Easy,Network Forensics,fail,fail,fail,pass,pass,pass,fail,pass,fail
