,,,,,Llama3.1-8B,,,,Llama3.1-70B,,,,Llama3.1-405B,,,,Gemini1.5-pro,,,,GPT-4.0mini,,,,GPT-4.0,,,,Claude-3.5,,,,OpenAI-o3-mini,,,,DeepSeek-Reasoner,,,,o3-mini(one_shot),,,,Claude-3.5(single-state),,,,DeepSeek-Reasoner(two_shot),,,,GPT-4o(tool_agent),,,,GPT-4o(single_state),,,,Claude-3.5(without_summarizer),,,,Claude-3.5(without_thought),,,
Question,Scenario_name,Question_Level,Task_Category,Tactic_Category,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps,Response,no_of_times,POF,Steps
s1.1 (hawkeye),hawkeye,Medium,Network Forensics,,fail,0/1,"wrong answer, wrong commands in loop",,pass,0/1,"wrong answer, same command continously",,pass,1-Jan,,,pass,1-Jan,,6,pass,1-Jan,,4,pass,1-Jan,,4,pass,,,4,pass,,,4,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,
s1.2,hawkeye,Medium,Network Forensics,,fail,0/1,"give up, wrong command",,pass,1-Jan,,,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,
s1.3,hawkeye,Medium,Network Forensics,,fail,0/1,"give up, wrong command",,fail,0/1,"round exceed, same command in loop",,pass,1-Jan,,,pass,1-Jan,,4,pass,1-Jan,,3,pass,1-Jan,,4,pass,,,3,pass,,,4,pass,,,2,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,
s1.4,hawkeye,Medium,Network Forensics,,fail,0/1,"wrong answer, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,pass,1-Jan,,,fail,0/1,"wrong answer, wrong direction",4,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,4,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,
s1.5,hawkeye,Medium,Network Forensics,,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,wrong answer,,fail,0/1,"wrong answer, ",4,fail,0/1,wrong answer,3,fail,0/1,wrong answer,3,fail,,wrong answer,3,fail,,wrong answer,3,pass,,,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,fail,,,
s1.6,hawkeye,Medium,Network Forensics,,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,wrong answer,,fail,0/1,"wrong answer, though I wanted name, it have ip address",4,fail,0/1,"wrong answer, didn't dig deeper, didn't consider host names",3,fail,0/1,"wrong answer, though I wanted name, it have ip address",4,pass,,,4,pass,,,5,fail,,wrong answer,3,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,pass,,,
s1.7,hawkeye,Medium,Network Forensics,,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,pass,1-Jan,,,fail,0/1,"wrong answer, wrong direction",4,fail,0/1,"give up, couldn't give correct commands",3,pass,1-Jan,,3,pass,,,4,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,
s1.8,hawkeye,Medium,Network Forensics,Command and Control,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,
s1.9,hawkeye,Medium,Network Forensics,Command and Control,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,pass,1-Jan,,3,fail,0/1,"give up, wrong command",3,pass,1-Jan,,4,pass,,,3,pass,,,5,pass,,,3,pass,,,,pass,,,,,,,,fail,,,,fail,,,,pass,,,,pass,,,
